uuid,name,description,class,datatype,shortname,synonym.1,synonym.2,reference-term-source,reference-term-code,reference-term-relationship,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6
,Appendectomy,,Procedure,N/A,,,,,,,,,,,,
,Arthrotomy,,Procedure,N/A,,,,,,,,,,,,
,Articular,,Misc,N/A,Articular,,,,,,,,,,,
,Arythmia,,Misc,N/A,Arythmia,,,,,,,,,,,
,Aspirin,,Misc,N/A,Aspirin,,,,,,,,,,,
,Asthmatic Symptoms as Child,,Misc,N/A,Asthmatic symptoms as child,,,,,,,,,,,
,Atenolol,,Misc,N/A,Atenolol,,,,,,,,,,,
,Atrial Fibrillation,,Misc,N/A,Atrial Fibrillation,,,,,,,,,,,
,B Agonist,,Misc,N/A,B Agonist,,,,,,,,,,,
,Balance,,Misc,N/A,,,,,,,,,,,,
,Beta Blocker,,Misc,N/A,Beta Blocker,,,,,,,,,,,
,Bilateral,,Misc,N/A,Bilateral,,,,,,,,,,,
,Biopsy,,Procedure,N/A,,,,,,,,,,,,
,Bleeding requiring >1 pint of IV fluid,,Finding,N/A,Bleeding requiring >1 pint of IV fluid,,,,,,,,,,,
,Bleeding requiring blood transfusion,,Finding,N/A,Bleeding requiring blood transfusion,,,,,,,,,,,
,Bloating,,Misc,N/A,,,,,,,,,,,,
,Blood,,Misc,N/A,,,,,,,,,,,,
,Blood Umbilicus with pus,,Misc,N/A,,,,,,,,,,,,
,Blurred Vision,,Misc,N/A,Blurred Vision,,,,,,,,,,,
,Body of Stomach,,Misc,N/A,Body of Stomach,,,,,,,,,,,
,Borderline Lepromatous,,Misc,N/A,BL,,,,,,,,,,,
,Borderline Tuberculoid,,Misc,N/A,BT,,,,,,,,,,,
,Bottle,,Misc,N/A,,,,,,,,,,,,
,BP Check Q3MO,,Misc,N/A,BP Check Q3MO,,,,,,,,,,,
,BP Medicine,,Misc,N/A,BP Medicine,,,,,,,,,,,
,BRBPR,,Misc,N/A,,,,,,,,,,,,
,Breast feeding,,Misc,N/A,,,,,,,,,,,,
,Breech Presentation,,Misc,N/A,Breech,,,,,,,,,,,
,Bronchiectasis,,Misc,N/A,Bronchiectasis,,,,,,,,,,,
,Bulging fontanelle,,Misc,N/A,,,,,,,,,,,,
,Burning,,Misc,N/A,,,,,,,,,,,,
,Burning Pain in Extremeties,,Misc,N/A,Burning Pain in Extremeties,,,,,,,,,,,
,Caesarean Section,,Misc,N/A,Caesarean Section,,,,,,,,,,,
,Calcium CH Blocker,,Misc,N/A,Calcium CH Blocker,,,,,,,,,,,
,Carboplatin/Paclitaxel,,Misc,N/A,Carboplatin/Paclitaxel,,,,,,,,,,,
,Cardio exercise,,Misc,N/A,Cardio exercise,,,,,,,,,,,
,Cauterization,,Procedure,N/A,,,,,,,,,,,,
,CBC Q12MO Anemia,,Misc,N/A,CBC Q12MO Anemia,,,,,,,,,,,
,Cephalic Presentation,,Misc,N/A,Cephalic,,,,,,,,,,,
,Change in diet,,Misc,N/A,Change in diet,,,,,,,,,,,
,Change in Hearing,,Misc,N/A,,,,,,,,,,,,
,Change in Shight,,Misc,N/A,,,,,,,,,,,,
,Change in Smell,,Misc,N/A,,,,,,,,,,,,
,Change in Speech,,Misc,N/A,,,,,,,,,,,,
,Change in Taste,,Misc,N/A,,,,,,,,,,,,
,Chemotherapy,,Misc,N/A,Chemotherapy,,,,,,,,,,,
,Chest indrawing,,Misc,N/A,,,,,,,,,,,,
,Chest Pain,,Misc,N/A,Chest Pain,,,,,,,,,,,
,Chest pain worse on exercise,,Misc,N/A,Chest pain worse on exercise,,,,,,,,,,,
,Chest tightness,,Misc,N/A,Chest tightness,,,,,,,,,,,
,CHF,,Misc,N/A,CHF,,,,,,,,,,,
,Chills,,Misc,N/A,,,,,,,,,,,,
,Choking,,Misc,N/A,,,,,,,,,,,,
,Cholecystostomy,,Procedure,N/A,,,,,,,,,,,,
,Chronic cough > 3 months,,Misc,N/A,Chronic cough > 3 months,,,,,,,,,,,
,Chronic Purulent Suptum Production,,Misc,N/A,Chronic purulent suptum production,,,,,,,,,,,
,CHW,,Misc,N/A,,,,,,,,,,,,
,Circumcision,,Procedure,N/A,,,,,,,,,,,,
,Cisplatin,,Misc,N/A,Cisplatin,,,,,,,,,,,
,CKD,,Misc,N/A,CKD,,,,,,,,,,,
,Clubbing,,Misc,N/A,Clubbing,,,,,,,,,,,
,Coarctation Of Aorta,,Misc,N/A,Coarctation Of Aorta,,,,,,,,,,,
,Cold Air,,Misc,N/A,Cold Air,,,,,,,,,,,
,Colostomy,,Procedure,N/A,,,,,,,,,,,,
,Combination of all,,Misc,N/A,Combination of all,,,,,,,,,,,
,COMMANDO Procedure,COMbined MANDibulectomy and Neck Dissection Operation,Procedure,N/A,COMMANDO Procedure,,,,,,,,,,,
,Complete,,Misc,N/A,Complete,,,,,,,,,,,
,Concurrent,,Misc,N/A,Concurrent,,,,,,,,,,,
,Condom,,Misc,N/A,Condom,,,,,,,,,,,
,Confirmed Elsewhere,,Misc,N/A,Confirmed Elsewhere,,,,,,,,,,,
,Congestion,,Misc,N/A,,,,,,,,,,,,
,Congestive Heart Failure,,Misc,N/A,Congestive Heart Failure,,,,,,,,,,,
,Contracture Release,,Procedure,N/A,,,,,,,,,,,,
,Controlled Cord Traction,,Misc,N/A,Controlled Cord Traction,,,,,,,,,,,
,Convulsion,,Misc,N/A,,,,,,,,,,,,
,COPD,,Misc,N/A,COPD,,,,,,,,,,,
,Coronary DZ,,Misc,N/A,Coronary DZ,,,,,,,,,,,
,Cortical Scarring,,Misc,N/A,Cortical Scarring,,,,,,,,,,,
,Cough,,Misc,N/A,Cough,,,,,,,,,,,
,Cramping,,Misc,N/A,,,,,,,,,,,,
,Crampy,,Misc,N/A,,,,,,,,,,,,
,Crushing Chest Pain,,Misc,N/A,Crushing Chest Pain,,,,,,,,,,,
,Crystalline Arthritis,,Misc,N/A,Crystalline Arthritis,,,,,,,,,,,
,Curative,,Misc,N/A,Curative,,,,,,,,,,,
,Cured by Treatment,,Misc,N/A,Cured,,,,,,,,,,,
,Cutaneous,,Misc,N/A,Cutaneous,,,,,,,,,,,
,Cyclophosphamide,,Misc,N/A,Cyclophosphamide,,,,,,,,,,,
,Cystic Disease,,Misc,N/A,Cystic Disease,,,,,,,,,,,
,Cystogastrostomy,,Procedure,N/A,,,,,,,,,,,,
,Cystolithotomy,,Procedure,N/A,,,,,,,,,,,,
,Cystoscopy,,Procedure,N/A,,,,,,,,,,,,
,Darkening of Skin,,Misc,N/A,,,,,,,,,,,,
,Death,,Misc,N/A,Death,,,,,,,,,,,
,Death During Treatment,,Misc,N/A,Died,,,,,,,,,,,
,Debridement,,Procedure,N/A,,,,,,,,,,,,
,Decreased Kidney Function,,Misc,N/A,Decreased Kidney Function,,,,,,,,,,,
,Decreased Stream,,Misc,N/A,,,,,,,,,,,,
,Decreased Vision,,Misc,N/A,Decreased Vision,,,,,,,,,,,
,Depo Provera,,Misc,N/A,Depo Provera,,,,,,,,,,,
,Depression,,Misc,N/A,,,,,,,,,,,,
,Deteriorated,,Misc,N/A,D,,,,,,,,,,,
,Diabetes,,Misc,N/A,Diabetes,,,,,,,,,,,
,Diarrhea for 2 weeks,,Misc,N/A,Diarrhea for 2 weeks,,,,,,,,,,,
,Diet Control,,Misc,N/A,Diet Control,,,,,,,,,,,
,Difficulty Breathing,,Misc,N/A,Difficulty in breathing,,,,,,,,,,,
,Digoxin,,Misc,N/A,Digoxin,,,,,,,,,,,
,Dilation and Evacuation,,Procedure,N/A,Dilation and Evacuation,,,,,,,,,,,
,Disarticulation,,Procedure,N/A,,,,,,,,,,,,
,Disseminated,,Misc,N/A,,,,,,,,,,,,
,Distal Esophagus,,Misc,N/A,Distal Esophagus,,,,,,,,,,,
,Distal Gastrectomy,,Procedure,N/A,,,,,,,,,,,,
,Do Not Know,,Misc,N/A,Do Not Know,,,,,,,,,,,
,Doubtful,,Misc,N/A,Doubtful,,,,,,,,,,,
,Doxorubicin,,Misc,N/A,Doxorubicin,,,,,,,,,,,
,Doxorubicin + Cyclophosphamide,,Misc,N/A,AC,,,,,,,,,,,
,Drainage,,Procedure,N/A,,,,,,,,,,,,
,Dressing,,Procedure,N/A,,,,,,,,,,,,
,Drilling,,Procedure,N/A,,,,,,,,,,,,
,Drinks eagerly,,Misc,N/A,,,,,,,,,,,,
,Drug Abuse,,Misc,N/A,Drug Abuse,,,,,,,,,,,
,Drug Induced,,Misc,N/A,Drug Induced,,,,,,,,,,,
,Drugs (cocaine),,Misc,N/A,Drugs (cocaine),,,,,,,,,,,
,Dryness,,Misc,N/A,,,,,,,,,,,,
,Duckett's Urethroplasty,,Procedure,N/A,,,,,,,,,,,,
,Duhamel Pull-Through,,Procedure,N/A,,,,,,,,,,,,
,Dyslipidemia,,Misc,N/A,Dyslipidemia,,,,,,,,,,,
,Dyspnea,,Misc,N/A,Dyspnea,,,,,,,,,,,
,Dyspnea Worse,,Misc,N/A,Dyspnea worse,,,,,,,,,,,
,Dysuria,,Misc,N/A,,,,,,,,,,,,
,Ear pain,,Misc,N/A,,,,,,,,,,,,
,Early,,Misc,N/A,Early,,,,,,,,,,,
,Edema,,Misc,N/A,Edema,,,,,,,,,,,
,Effective,,Misc,N/A,,,,,,,,,,,,
,Effectively,,Misc,N/A,,,,,,,,,,,,
,Electric Vacuum Aspiration,,Procedure,N/A,Electric Vacuum Aspiration,,,,,,,,,,,
,Eloesser Flap,,Procedure,N/A,,,,,,,,,,,,
,Enalapril,,Misc,N/A,Enalapril,,,,,,,,,,,
,Endocrine Hypothyroidism,,Misc,N/A,Endocrine Hypothyroidism,,,,,,,,,,,
,Eosinophilic Bhronchitis,,Misc,N/A,Eosinophilic bhronchitis,,,,,,,,,,,
,Epidural Anesthesia,,Misc,N/A,EA,,,,,,,,,,,
,Episiotomy on mother,,Misc,N/A,Episiotomy on mother,,,,,,,,,,,
,Epistaxis,,Misc,N/A,,,,,,,,,,,,
,ER-,,Misc,N/A,ER-,,,,,,,,,,,
,ER+,,Misc,N/A,ER+,,,,,,,,,,,
,Esophagectomy,,Misc,N/A,Esophagectomy,,,,,,,,,,,
,Ethambutol,,Misc,N/A,E,,,,,,,,,,,
,Evidence of CHF,,Misc,N/A,Evidence of CHF,,,,,,,,,,,
,Evidence of Pneumonia,,Misc,N/A,Evidence of Pneumonia,,,,,,,,,,,
,Evidence of Tuberculosis,,Misc,N/A,Evidence of Tuberculosis,,,,,,,,,,,
,Excess Alcohol Intake,,Misc,N/A,Excess Alcohol Intake,,,,,,,,,,,
,Excess Sodium Intake,,Misc,N/A,Excess Sodium Intake,,,,,,,,,,,
,Excessive Bleeding,,Misc,N/A,,,,,,,,,,,,
,Excision,,Procedure,N/A,,,,,,,,,,,,
,Exercise,,Misc,N/A,Exercise,,,,,,,,,,,
,Expected,,Misc,N/A,Expected,,,,,,,,,,,
,Exposure to Allergens,,Misc,N/A,Exposure to allergens,,,,,,,,,,,
,Extrapulmonary,,Misc,N/A,Extrapulmonary,,,,,,,,,,,
,Eye Pain,,Misc,N/A,,,,,,,,,,,,
,Failed abortion,,Misc,N/A,Failed abortion,,,,,,,,,,,
,Faints,,Misc,N/A,,,,,,,,,,,,
,Falciparum,,Misc,N/A,,,,,,,,,,,,
,Family History,,Misc,N/A,Family History,,,,,,,,,,,
,Family History early M.I.,,Misc,N/A,Family History early M.I.,,,,,,,,,,,
,Family History of Asthma,,Misc,N/A,Family history of asthma,,,,,,,,,,,
,Fasciotomy,,Procedure,N/A,,,,,,,,,,,,
,Fatigue,,Misc,N/A,Fatigue,,,,,,,,,,,
,FCHV,,Misc,N/A,FCHV,,,,,,,,,,,
,Feeding Jejunostomy,,Procedure,N/A,,,,,,,,,,,,
,Female,,Misc,N/A,Female,,,,,,,,,,,
,Female sterilization,,Misc,N/A,Female sterilization,,,,,,,,,,,
,Fever,,Misc,N/A,Fever,,,,,,,,,,,
,Fibroadenoma,,Procedure,N/A,,,,,,,,,,,,
,Fibromyalgia,,Misc,N/A,Fibromyalgia,,,,,,,,,,,
,"First Degree Perineal Laceration, with Delivery",,Misc,N/A,First Degree Laceration,,,,,,,,,,,
,Fistulectomy,,Procedure,N/A,,,,,,,,,,,,
,Fixed,,Misc,N/A,Fixed,,,,,,,,,,,
,Fixed/matted,,Misc,N/A,Fixed/matted,,,,,,,,,,,
,Flat,,Misc,N/A,Flat,,,,,,,,,,,
,Floaters,,Misc,N/A,,,,,,,,,,,,
,Fluids,,Misc,N/A,,,,,,,,,,,,
,Fluorouracil,,Misc,N/A,5-FU,,,,,,,,,,,
,FNA,,Misc,N/A,FNA,,,,,,,,,,,
,Food,,Misc,N/A,,,,,,,,,,,,
,Forceps or Vaccum Extractor Delivery,,Misc,N/A,Forceps or Vaccum Extractor Delivery,,,,,,,,,,,
,Four,,Misc,N/A,Four,,,,,,,,,,,
,Fresh stillbirth,,Misc,N/A,Fresh stillbirth,,,,,,,,,,,
,Fulguration,,Procedure,N/A,,,,,,,,,,,,
,Functional Deficits,,Misc,N/A,,,,,,,,,,,,
,Fundal pressure,,Misc,N/A,Fundal pressure,,,,,,,,,,,
,Fundus of Stomach,,Misc,N/A,Fundus of Stomach,,,,,,,,,,,
,Furosemide,,Misc,N/A,Furosemide,,,,,,,,,,,
,Ganja,,Misc,N/A,,,,,,,,,,,,
,Gastrectomy,,Misc,N/A,Gastrectomy,,,,,,,,,,,
,Gastro-esophageal Junction,,Misc,N/A,Gastro-esophageal Junction,,,,,,,,,,,
,Gastrojejunostomy,,Procedure,N/A,,,,,,,,,,,,
,General Anesthesia,,Misc,N/A,GA,,,,,,,,,,,
,General rash,,Misc,N/A,,,,,,,,,,,,
,Generalized / Tonic ‰ÛÒ Clonic,,Misc,N/A,Generalized / Tonic ‰ÛÒ Clonic,,,,,,,,,,,
,Genital,,Misc,N/A,Genital,,,,,,,,,,,
,GI,,Misc,N/A,GI,,,,,,,,,,,
,Glipizide,,Misc,N/A,Glipizide,,,,,,,,,,,
,Glomerular Diseases,,Misc,N/A,Glomerular Diseases,,,,,,,,,,,
,Goiter,,Misc,N/A,Goiter,,,,,,,,,,,
,Good,,Misc,N/A,,,,,,,,,,,,
,Good Condition,,Misc,N/A,Good Condition,,,,,,,,,,,
,Greater than 3 Months Presence Of Kidney Damage,,Misc,N/A,Greater than 3 Months Presence Of Kidney Damage,,,,,,,,,,,
,Greater than 99.5F,,Misc,N/A,,,,,,,,,,,,
,Greater than or 3,,Misc,N/A,Greater than or 3,,,,,,,,,,,
,GRED - Gestroesophageal Reflux Disease,,Misc,N/A,GRED - Gestroesophageal Reflux Disease,,,,,,,,,,,
,Gudakhu,,Misc,N/A,,,,,,,,,,,,
,HCTZ,,Misc,N/A,HCTZ,,,,,,,,,,,
,Head Injury,,Misc,N/A,Head injury,,,,,,,,,,,
,Healthcare provider,,Misc,N/A,Healthcare provider,,,,,,,,,,,
,Healthy,,Misc,N/A,Healthy,,,,,,,,,,,
,Heart failure,,Misc,N/A,Heart failure,,,,,,,,,,,
,Heart Failure Medicines,,Misc,N/A,Heart failure medicines,,,,,,,,,,,
,Heat / Cold Intolerence,,Misc,N/A,,,,,,,,,,,,
,Heavy,,Misc,N/A,,,,,,,,,,,,
,Hemicolectomy,,Procedure,N/A,,,,,,,,,,,,
,Hemithyroidectomy,,Procedure,N/A,,,,,,,,,,,,
,Hemoptysis,,Misc,N/A,Hemoptysis,,,,,,,,,,,
,HER2 FISH-,,Misc,N/A,HER2 FISH-,,,,,,,,,,,
,HER2 FISH+,,Misc,N/A,HER2 FISH+,,,,,,,,,,,
,HER2 IHC-,,Misc,N/A,HER2 IHC-,,,,,,,,,,,
,HER2 IHC+,,Misc,N/A,HER2 IHC+,,,,,,,,,,,
,Hernioplasty,,Procedure,N/A,,,,,,,,,,,,
,Herniorrhaphy,,Procedure,N/A,,,,,,,,,,,,
,Herniotomy,,Procedure,N/A,,,,,,,,,,,,
,HF,,Misc,N/A,,,,,,,,,,,,
,High,,Misc,N/A,,,,,,,,,,,,
,Histoid,,Misc,N/A,Histoid,,,,,,,,,,,
,HIV,,Misc,N/A,HIV,,,,,,,,,,,
,HIV / AIDS,,Misc,N/A,HIV / AIDS,,,,,,,,,,,
,Hyderonephrosis Due To Obstruction,,Misc,N/A,Hyderonephrosis Due To Obstruction,,,,,,,,,,,
,Hydrocele Repair,,Procedure,N/A,,,,,,,,,,,,
,Hyperlipidemia,,Misc,N/A,Hyperlipidemia,,,,,,,,,,,
,Hyperparathyroidism,,Misc,N/A,Hyperparathyroidism,,,,,,,,,,,
,Hypertension,,Misc,N/A,Hypertension,,,,,,,,,,,
,Hyperthyroidism,,Misc,N/A,Hyperthyroidism,,,,,,,,,,,
,Hypertriglyceridemia,,Misc,N/A,Hypertriglyceridemia,,,,,,,,,,,
,Hypoxemia,,Misc,N/A,Hypoxemia,,,,,,,,,,,
,Hysterectomy,,Procedure,N/A,,,,,,,,,,,,
,Hysterotomy,,Procedure,N/A,,,,,,,,,,,,
,Idiopathic,,Misc,N/A,Idiopathic,,,,,,,,,,,
,Ileostomy,,Procedure,N/A,,,,,,,,,,,,
,Immediate visit,,Misc,N/A,,,,,,,,,,,,
,Implant,,Misc,N/A,Implant,,,,,,,,,,,
,Implantable Cardioverter Defibrillator,,Procedure,N/A,ICD,,,,,,,,,,,
,Improved,,Misc,N/A,,,,,,,,,,,,
,Incomplete,,Misc,N/A,Incomplete,,,,,,,,,,,
,Incomplete abortion requiring repeat procedure,,Finding,N/A,Incomplete abortion requiring repeat procedure,,,,,,,,,,,
,Incontinence,,Misc,N/A,,,,,,,,,,,,
,Increase in Cough,,Misc,N/A,Increase in cough,,,,,,,,,,,
,Increase in Sputum Production,,Misc,N/A,Increase in sputum production,,,,,,,,,,,
,Indigestion,,Misc,N/A,,,,,,,,,,,,
,Indurated/Hard,,Misc,N/A,Indurated/Hard,,,,,,,,,,,
,Ineffective,,Misc,N/A,Ineffective,,,,,,,,,,,
,Infection requiring hospitalization/IV antibiotics,,Finding,N/A,Infection requiring hospitalization/IV antibiotics,,,,,,,,,,,
,Inguinal,,Misc,N/A,Inguinal,,,,,,,,,,,
,Inhaled Steroid,,Misc,N/A,Inhaled Steroid,,,,,,,,,,,
,Inspiratory Crackles,,Misc,N/A,Inspiratory crackles,,,,,,,,,,,
,Insulin 70/30,,Misc,N/A,Insulin 70/30,,,,,,,,,,,
,Insulin Long Acting,,Misc,N/A,Insulin Long Acting,,,,,,,,,,,
,Insulin Regular,,Misc,N/A,Insulin Regular,,,,,,,,,,,
,Insulin Short Acting,,Misc,N/A,Insulin Short Acting,,,,,,,,,,,
,Intact,,Misc,N/A,Intact,,,,,,,,,,,
,Interval Appendectomy,,Procedure,N/A,,,,,,,,,,,,
,Intestinal,,Misc,N/A,Intestinal,,,,,,,,,,,
,Intra Uterine Contraceptive Device,,Misc,N/A,Intra Uterine Contraceptive Device,,,,,,,,,,,
,Intracranial Infection,,Misc,N/A,Intracranial infection,,,,,,,,,,,
,Intranasal Polypectomy,,Procedure,N/A,,,,,,,,,,,,
,Invasive Ductal Carcinoma,,Misc,N/A,Invasive Ductal Carcinoma,,,,,,,,,,,
,Invasive Lobular Carcinoma,,Misc,N/A,Invasive Lobular Carcinoma,,,,,,,,,,,
,Ipratropium,,Misc,N/A,Ipratropium,,,,,,,,,,,
,Iron for Anemia,,Misc,N/A,Iron for Anemia,,,,,,,,,,,
,Irregular,,Misc,N/A,,,,,,,,,,,,
,Isoniazid,,Misc,N/A,H,,,,,,,,,,,
,Jaundice present,,Misc,N/A,,,,,,,,,,,,
,Jaundice upto hands and feet,,Misc,N/A,,,,,,,,,,,,
,Johanson's Urethroplasty,,Procedure,N/A,,,,,,,,,,,,
,Joint Swelling,,Misc,N/A,,,,,,,,,,,,
,K Check Q3MO,,Misc,N/A,K Check Q3MO,,,,,,,,,,,
,Kasai Portoenterostomy,,Procedure,N/A,,,,,,,,,,,,
,Keep warm,,Misc,N/A,,,,,,,,,,,,
,Ketamine,,Misc,N/A,Ketamine,,,,,,,,,,,
,KDIGO G1,,Misc,N/A,KDIGO G1,,,,,,,,,,,
,KDIGO G2,,Misc,N/A,KDIGO G2,,,,,,,,,,,
,KDIGO G3a,,Misc,N/A,KDIGO G3a,,,,,,,,,,,
,KDIGO G3b,,Misc,N/A,KDIGO G3b,,,,,,,,,,,
,KDIGO G4,,Misc,N/A,KDIGO G4,,,,,,,,,,,
,KDIGO G5,,Misc,N/A,KDIGO G5,,,,,,,,,,,
,Labor for work,,Misc,N/A,Labor for work,,,,,,,,,,,
,Lack of Energy,,Misc,N/A,,,,,,,,,,,,
,Lack of exercise,,Misc,N/A,Lack of exercise,,,,,,,,,,,
,Ladd's procedure,,Procedure,N/A,,,,,,,,,,,,
,Laminectomy,,Procedure,N/A,,,,,,,,,,,,
,Laparoscopic Adhesiolysis,,Procedure,N/A,,,,,,,,,,,,
,Laparoscopic Gastric Banding,,Procedure,N/A,Lap Band,,,,,,,,,,,
,Laparotomy,,Procedure,N/A,,,,,,,,,,,,
,Laryngeal Stenosis,,Misc,N/A,Laryngeal stenosis,,,,,,,,,,,
,Leaving Against Medical Advice,,Misc,N/A,Leaving Against Medical Advice,,,,,,,,,,,
,Left Axillary,,Misc,N/A,Left Axillary,,,,,,,,,,,
,Left Side,,Misc,N/A,Left Side,,,,,,,,,,,
,Lepromatous,,Misc,N/A,LL,,,,,,,,,,,
,Less than 10mm,,Misc,N/A,,,,,,,,,,,,
,Less than 99.5F,,Misc,N/A,,,,,,,,,,,,
,Less than normal,,Misc,N/A,,,,,,,,,,,,
,Lethargic/ Unconscious,,Misc,N/A,,,,,,,,,,,,
,Light,,Misc,N/A,,,,,,,,,,,,
,Little,,Misc,N/A,Little,,,,,,,,,,,
,Liver,,Misc,N/A,Liver,,,,,,,,,,,
,Lobuloplasty,,Procedure,N/A,,,,,,,,,,,,
,Local Anesthesia,,Misc,N/A,LA,,,,,,,,,,,
,Locally Advanced,,Misc,N/A,Locally Advanced,,,,,,,,,,,
,Locally Advanced Unresectable Disease,,Misc,N/A,Locally Advanced Unresectable Disease,,,,,,,,,,,
,Lord's Procedure,,Procedure,N/A,,,,,,,,,,,,
,Lost for Follow Up,,Misc,N/A,L,,,,,,,,,,,
,Low,,Misc,N/A,,,,,,,,,,,,
,Low weight,,Misc,N/A,,,,,,,,,,,,
,Lower Segment Caesarean Section,,Procedure,N/A,LSCS,,,,,,,,,,,
,Lumbar Sympathectomy,,Procedure,N/A,,,,,,,,,,,,
,Lumps,,Misc,N/A,,,,,,,,,,,,
,Lung,,Misc,N/A,Lung,,,,,,,,,,,
,Lymph Node,,Misc,N/A,Lymph Node,,,,,,,,,,,
,Lymph Node Biopsy,,Procedure,N/A,LN Biopsy,,,,,,,,,,,
,M0 Metastatic Stage,,Misc,N/A,M0,,,,,,,,,,,
,M1 Metastatic Stage,,Misc,N/A,M1,,,,,,,,,,,
,Macerated stillbirth,,Misc,N/A,Macerated stillbirth,,,,,,,,,,,
,Male,,Misc,N/A,Male,,,,,,,,,,,
,Male sterilization,,Misc,N/A,Male sterilization,,,,,,,,,,,
,Malnutrition,,Misc,N/A,Malnutrition,,,,,,,,,,,
,Manage and 3 months,,Misc,N/A,Manage and 3 months,,,,,,,,,,,
,Mania,,Misc,N/A,,,,,,,,,,,,
,Manual removal,,Misc,N/A,Manual removal,,,,,,,,,,,
,Manual Vacuum Aspiration,,Procedure,N/A,Manual Vacuum Aspiration,,,,,,,,,,,
,Marsupialisation,,Procedure,N/A,,,,,,,,,,,,
,Mastectomy,,Procedure,N/A,,,,,,,,,,,,
,Maternal effort,,Misc,N/A,Maternal effort,,,,,,,,,,,
,Meatotomy,,Procedure,N/A,,,,,,,,,,,,
,Med non adherence,,Misc,N/A,Med non adherence,,,,,,,,,,,
,Medical Abortion,,Procedure,N/A,Medical Abortion,,,,,,,,,,,
,Medical Induction,,Procedure,N/A,Medical Induction,,,,,,,,,,,
,Medical Termination of Pregnancy,,Procedure,N/A,MTP,,,,,,,,,,,
,Medico Legal,,Misc,N/A,Medico Legal,,,,,,,,,,,
,Medium,,Misc,N/A,,,,,,,,,,,,
,Melena,,Misc,N/A,,,,,,,,,,,,
,Meningeal,,Misc,N/A,Meningeal,,,,,,,,,,,
,Menses,,Misc,N/A,Menses,,,,,,,,,,,
,Meshplasty,,Procedure,N/A,,,,,,,,,,,,
,Metastatic,,Misc,N/A,Metastatic,,,,,,,,,,,
,Metastatic Disease,,Misc,N/A,Metastatic Disease,,,,,,,,,,,
,Metastatic Disease (Stage IV),,Misc,N/A,Metastatic Disease (Stage IV),,,,,,,,,,,
,Metformin,,Misc,N/A,Metformin,,,,,,,,,,,
,Methotrexade,,Misc,N/A,Methotrexade,,,,,,,,,,,
,Midspectrum Borderline,,Misc,N/A,BB,,,,,,,,,,,
,Mild,,Misc,N/A,Mild,,,,,,,,,,,
,Mild Exacerbation,,Misc,N/A,Mild Exacerbation,,,,,,,,,,,
,Millard Repair,,Procedure,N/A,,,,,,,,,,,,
,Mitral Regurg,,Misc,N/A,Mitral Regurg,,,,,,,,,,,
